genres,original_title,overview,release_date,popularity,poster_path,runtime,directors,title_y
"Drama, History, War",Saving Private Ryan,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",1998-07-24,54.961,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/uqx37cS8cpHg8U35f9U5IBlrCV3.jpg,169,Steven Spielberg,Il faut sauver le soldat Ryan
"Comedy, Adventure, Drama",Cool Runnings,"When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican bobsled team.",1993-10-01,15.606,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/6fXuGEb7EqGmAeUodxm7l5ELPZ.jpg,98,Jon Turteltaub,Rasta Rockett
Drama,A Few Good Men,"When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.",1992-12-11,22.707,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/rLOk4z9zL1tTukIYV56P94aZXKk.jpg,138,Rob Reiner,Des hommes d'honneur
"Comedy, Science Fiction, Fantasy",Delicatessen,"In a post-apocalyptic world, the residents of an apartment above the butcher shop receive an occasional delicacy of meat, something that is in low supply. A young man new in town falls in love with the butcher's daughter, which causes conflicts in her family, who need the young man for other business-related purposes.",1991-04-17,10.857,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/bq18nae4FBPGCB8B2ZhBAEyERjq.jpg,99,"Marc Caro, Jean-Pierre Jeunet",Delicatessen
"Fantasy, Science Fiction, Adventure",La Cité des Enfants Perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",1995-08-17,14.815,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,108,"Marc Caro, Jean-Pierre Jeunet",La Cité des enfants perdus
"Science Fiction, Action, Thriller",Godzilla,"French nuclear tests irradiate an iguana into a giant monster that viciously attacks freighter ships in the Pacific Ocean. A team of experts, including Niko Tatopoulos, conclude that the oversized reptile is the culprit. Before long, the giant lizard is loose in Manhattan as the US military races to destroy the monster before it reproduces and it's spawn takes over the world.",1998-05-20,34.626,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/tqQ9Nt5C1Z5PRDPxYXQ4qwy5v5V.jpg,138,Roland Emmerich,Godzilla
"Family, Animation, Adventure, Comedy",Madagascar,"Alex the lion is the king of the urban jungle, the main attraction at New York's Central Park Zoo. He and his best friends—Marty the zebra, Melman the giraffe and Gloria the hippo—have spent their whole lives in blissful captivity before an admiring public and with regular meals provided for them. Not content to leave well enough alone, Marty lets his curiosity get the better of him and makes his escape—with the help of some prodigious penguins—to explore the world.",2005-05-25,60.043,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/zMpJY5CJKUufG9OTw0In4eAFqPX.jpg,86,"Eric Darnell, Tom McGrath",Madagascar
"Adventure, Action, Thriller",Mission: Impossible,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",1996-05-22,41.663,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/l5uxY5m5OInWpcExIpKG6AR3rgL.jpg,110,Brian De Palma,Mission: Impossible
"Drama, Thriller, Crime, Mystery",Irréversible,A woman’s lover and her ex-boyfriend take justice into their own hands after she becomes the victim of a rapist.,2002-05-22,27.264,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/rxeDxo8FvZpLu6iplNpxdtAVnfu.jpg,98,Gaspar Noé,"Irréversible, Irréversible - Inversion Intégrale"
Drama,Babel,"In Babel, a tragic incident involving an American couple in Morocco sparks a chain of events for four families in different countries throughout the world. In the struggle to overcome isolation, fear, and displacement, each character discovers that it is family that ultimately provides solace. In the remote sands of the Moroccan desert, a rifle shot rings out  detonating a chain of events that will link an American tourist couples frantic struggle to survive, two Moroccan boys involved in an accidental crime, a nanny illegally crossing into Mexico with two American children and a Japanese teen rebel whose father is sought by the police in Tokyo. Separated by clashing cultures and sprawling distances, each of these four disparate groups of people are nevertheless hurtling towards a shared destiny of isolation and grief.",2006-09-08,13.615,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/cDy5iZL2C01jiT5wDSE4jOvoT52.jpg,143,Alejandro G. Iñárritu,Babel
